Name,Year,Age,AgeDif,Tm,Lg,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Matt Whatley,2015,19,-2,Oral Roberts,SUMT,NCAA,,54,259,214,56,76,16,3,5,44,16,5,26,35,0.355,0.437,0.528,0.965,113,,8,7,4,0
Matt Whatley,2016,20,-1.2,Oral Roberts,SUMT,NCAA,,52,246,201,42,73,10,3,8,41,5,0,39,29,0.363,0.469,0.562,1.032,113,,3,1,2,7
Matt Whatley,2017,21,-0.3,Oral Roberts,SUMT,NCAA,,59,277,212,45,64,11,0,11,49,10,1,50,41,0.302,0.446,0.509,0.955,108,,9,1,5,3
Will Toffey,2015,20,-0.5,Vanderbilt,SEC,NCAA,,71,301,255,45,75,20,0,4,49,8,4,34,65,0.294,0.38,0.42,0.8,107,,5,1,6,1
Will Toffey,2016,21,0.4,Vanderbilt,SEC,NCAA,,62,264,203,37,46,6,1,0,23,9,5,51,44,0.227,0.387,0.266,0.653,54,,4,3,3,0
Will Toffey,2017,22,1.3,Vanderbilt,SEC,NCAA,,56,262,206,55,73,13,1,12,64,5,4,48,30,0.354,0.475,0.602,1.077,124,,2,3,3,1
Jake Scheiner,2017,21,0.3,Houston,Amer,NCAA,,63,285,243,50,84,18,3,18,64,8,3,27,41,0.346,0.432,0.667,1.098,162,,12,0,3,3
Jason Delay,2014,19,-1.5,Vanderbilt,SEC,NCAA,,47,143,114,26,28,9,0,0,13,1,0,17,32,0.246,0.374,0.325,0.699,37,,7,4,1,0
Jason Delay,2015,20,-0.5,Vanderbilt,SEC,NCAA,,37,122,99,18,28,8,0,1,24,0,0,10,20,0.283,0.373,0.394,0.767,39,,6,4,3,0
Jason Delay,2016,21,0.4,Vanderbilt,SEC,NCAA,,45,172,149,17,37,10,0,1,31,1,4,7,35,0.248,0.296,0.336,0.631,50,,6,3,7,1
Jason Delay,2016,21,0.4,Vanderbilt,SEC,NCAA,,45,172,149,17,37,10,0,1,31,1,4,7,35,0.248,0.296,0.336,0.631,50,,6,3,7,1
Michael Gigliotti,2015,19,-1.7,Lipscomb,ASun,NCAA,,58,272,232,51,78,5,3,5,28,17,7,25,31,0.336,0.409,0.448,0.857,104,,5,8,2,1
Michael Gigliotti,2016,20,-0.6,Lipscomb,ASun,NCAA,,51,236,192,55,58,12,5,3,24,15,4,31,35,0.302,0.409,0.464,0.872,89,,5,6,2,2
Michael Gigliotti,2017,21,0.3,Lipscomb,ASun,NCAA,,56,270,202,60,58,14,1,3,17,31,5,51,41,0.287,0.451,0.411,0.862,83,,10,6,1,0
Kramer Robertson,2014,19,-1.5,Louisiana State,SEC,NCAA,,47,128,100,19,20,6,0,1,20,3,1,17,21,0.2,0.339,0.29,0.629,29,,5,4,2,0
Kramer Robertson,2015,20,-0.5,Louisiana State,SEC,NCAA,,27,67,56,10,13,1,1,0,5,1,0,9,9,0.232,0.338,0.286,0.624,16,,0,2,0,0
Kramer Robertson,2016,21,0.4,Louisiana State,SEC,NCAA,,66,307,259,61,84,20,2,2,39,14,4,27,20,0.324,0.417,0.44,0.857,114,,14,7,0,0
Kramer Robertson,2017,22,1.3,Louisiana State,SEC,NCAA,,72,341,290,85,89,18,3,8,43,9,3,36,32,0.307,0.403,0.472,0.875,137,,12,1,2,0
Kevin Smith,2015,18,-2.9,Maryland,BTen,NCAA,,66,294,249,55,68,14,1,7,35,11,4,29,35,0.273,0.358,0.422,0.78,105,,5,9,2,0
Kevin Smith,2016,19,-1.7,Maryland,BTen,NCAA,,57,259,232,39,60,9,1,8,34,0,2,16,49,0.259,0.308,0.409,0.717,95,,1,9,1,0
Kevin Smith,2017,20,-0.7,Maryland,BTen,NCAA,,54,223,194,38,52,10,3,13,48,4,0,14,48,0.268,0.323,0.552,0.874,107,,5,3,7,2
