Name,Year,Age,AgeDif,Tm,Lg,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,,,,,,
Jared Foster,2014,21,0.5,Louisiana State,SEC,NCAA,,43,71,61,8,7,4,0,0,8,1,0,6,11,0.115,0.194,0.18,0.374,11,,0,4,0,1,,,,,,
Jared Foster,2015,22,1.5,Louisiana State,SEC,NCAA,,55,233,212,37,59,12,2,10,35,10,0,14,37,0.278,0.332,0.495,0.827,105,,3,4,0,0,,,,,,
Steven Duggar,2013,19,-1.5,Clemson,ACC,NCAA,,62,279,250,39,75,10,2,2,30,15,7,23,41,0.3,0.359,0.38,0.739,95,,1,3,2,1,,,,,,
Steven Duggar,2014,20,-0.5,Clemson,ACC,NCAA,,61,271,238,45,70,11,3,1,36,25,3,27,51,0.294,0.368,0.378,0.746,90,,2,2,2,2,,,,,,
Steven Duggar,2015,21,0.5,Clemson,ACC,NCAA,,61,292,227,56,69,12,1,5,43,10,5,54,49,0.304,0.432,0.432,0.863,98,,3,0,8,0,,,,,,
Cody Jones,2013,20,-0.8,Texas Christian,B12,NCAA,,57,259,208,43,56,6,3,1,18,13,4,34,37,0.269,0.387,0.341,0.728,71,,6,11,0,0,,,,,,
Cody Jones,2014,21,0.2,Texas Christian,B12,NCAA,,66,325,257,51,68,9,2,0,18,29,5,46,53,0.265,0.389,0.315,0.704,81,,8,11,3,0,,,,,,
Cody Jones,2015,22,1.1,Texas Christian,B12,NCAA,,66,307,252,63,89,14,1,5,34,33,6,45,42,0.353,0.464,0.476,0.94,120,,8,1,1,5,,,,,,
Edwin Rios,2013,19,-1.9,Florida International,SBC,NCAA,,58,258,217,42,72,20,0,9,52,2,2,26,52,0.332,0.412,0.548,0.961,119,,8,1,6,3,,,,,,
Edwin Rios,2014,20,-0.6,Florida International,CUSA,NCAA,,56,250,230,30,68,14,2,2,38,3,0,17,34,0.296,0.341,0.4,0.741,92,,0,1,2,2,,,,,,
Edwin Rios,2015,21,0.1,Florida International,CUSA,NCAA,,61,273,223,49,70,6,1,18,56,3,2,39,37,0.314,0.421,0.592,1.013,132,,6,0,5,12,,,,,,
David Fletcher,2014,20,-0.4,Loyola Marymount,WCC,NCAA,,56,258,222,37,73,6,2,0,28,17,4,13,22,0.329,0.362,0.374,0.736,83,,2,15,6,1,,,,,,
David Fletcher,2015,21,0.5,Loyola Marymount,WCC,NCAA,,55,257,221,32,68,14,2,2,27,14,3,23,18,0.308,0.385,0.416,0.801,92,,6,5,2,0,,,,,,
Dylan Moore,2014,21,0.4,Central Florida,Amer,NCAA,,56,275,232,47,72,17,0,2,35,10,4,22,25,0.31,0.387,0.409,0.797,95,,11,4,6,0,,,,,,
Dylan Moore,2015,22,1.4,Central Florida,Amer,NCAA,,58,277,240,50,80,14,3,10,45,14,2,28,35,0.333,0.417,0.542,0.958,130,,7,1,1,1,,,,,,
Jake Cronenworth,2013,19,-1.6,Michigan,BTen,NCAA,,56,246,203,33,65,12,2,2,42,12,4,22,21,0.32,0.386,0.429,0.814,87,,6,5,10,0,,,,,,
Jake Cronenworth,2014,20,-0.7,Michigan,BTen,NCAA,,60,264,205,41,55,6,4,2,28,19,4,41,34,0.268,0.391,0.366,0.757,75,,3,11,4,1,,,,,,
Jake Cronenworth,2015,21,0.1,Michigan,BTen,NCAA,,64,314,269,62,91,18,3,6,48,11,9,34,28,0.338,0.419,0.494,0.914,133,,5,4,2,0,,,,,,
Nathan Lukes,2013,18,-2.7,Sacramento State,WAC,NCAA,,59,256,232,40,73,13,4,2,32,4,2,17,24,0.315,0.372,0.431,0.803,100,,4,3,0,1,,,,,,
Nathan Lukes,2014,19,-1.6,Sacramento State,WAC,NCAA,,64,301,259,54,90,10,3,0,26,10,10,31,31,0.347,0.43,0.409,0.839,106,,7,3,1,2,,,,,,
Nathan Lukes,2015,20,-0.8,Sacramento State,WAC,NCAA,,60,278,235,43,81,14,2,7,38,13,4,30,17,0.345,0.422,0.511,0.932,120,,5,3,5,3,,,,,,
Jose Vizcaino Jr.,2013,19,-1.5,Santa Clara,WCC,NCAA,,17,51,45,3,11,2,0,0,3,1,0,5,17,0.244,0.333,0.289,0.622,13,,1,0,0,0,,,,,,
Jose Vizcaino Jr.,2014,20,-0.4,Santa Clara,WCC,NCAA,,56,223,201,33,65,8,3,2,28,11,7,9,33,0.323,0.36,0.423,0.783,85,,3,9,1,1,,,,,,
Jose Vizcaino Jr.,2015,21,0.5,Santa Clara,WCC,NCAA,,49,219,194,43,65,14,4,9,39,10,7,23,39,0.335,0.406,0.588,0.994,114,,1,0,1,3,,,,,,
Mitchell Tolman,2013,19,-1.4,Oregon,P12,NCAA,,49,207,165,16,52,9,1,1,37,2,5,18,25,0.315,0.392,0.4,0.792,66,,6,13,5,0,,,,,,
Mitchell Tolman,2014,20,-0.5,Oregon,P12,NCAA,,64,278,219,45,69,18,5,2,48,5,3,31,54,0.315,0.438,0.47,0.908,103,,20,4,4,3,,,,,,
Mitchell Tolman,2015,21,0.5,Oregon,P12,NCAA,,62,291,231,43,75,20,2,3,42,11,6,44,40,0.325,0.457,0.468,0.924,108,,13,2,1,4,,,,,,
Jesse Jenner,2012,18,-2.3,CS Fullerton,BigW,NCAA,,4,7,6,0,1,0,0,0,1,0,0,0,3,0.167,0.286,0.167,0.452,1,,1,0,0,0,,,,,,
Jesse Jenner,2014,20,-0.4,San Diego,WCC,NCAA,,49,186,161,31,56,7,0,3,35,4,2,9,15,0.348,0.402,0.447,0.849,72,,9,2,5,2,,,,,,
Jesse Jenner,2015,21,0.5,San Diego,WCC,NCAA,,44,190,159,25,50,10,0,2,27,2,3,14,17,0.314,0.407,0.415,0.823,66,,13,1,3,0,,,,,,
