Name,Year,Age,AgeDif,Tm,Lg,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,,,,,,
Christin Stewart,2013,19,-1.4,Tennessee,SEC,NCAA,,46,174,145,27,45,8,2,3,27,5,3,21,31,0.31,0.414,0.455,0.869,66,,6,0,2,0,,,,,,
Christin Stewart,2014,20,-0.5,Tennessee,SEC,NCAA,,54,241,218,45,72,19,6,5,39,7,1,15,42,0.33,0.386,0.541,0.927,118,,6,0,2,3,,,,,,
Christin Stewart,2015,21,0.5,Tennessee,SEC,NCAA,,50,221,177,39,55,8,2,15,47,4,5,28,38,0.311,0.443,0.633,1.076,112,,15,0,1,3,,,,,,
Donnie Dewees,2013,19,-1.3,North Florida,ASun,NCAA,,56,248,213,47,74,19,3,5,47,3,1,28,21,0.347,0.429,0.535,0.964,114,,4,1,2,2,,,,,,
Donnie Dewees,2014,20,-0.7,North Florida,ASun,NCAA,,12,52,47,8,15,1,1,1,8,2,0,5,5,0.319,0.385,0.447,0.831,21,,0,0,0,2,,,,,,
Donnie Dewees,2015,21,0.3,North Florida,ASun,NCAA,,60,287,251,88,106,12,8,18,68,23,3,30,16,0.422,0.483,0.749,1.232,188,,2,1,3,5,,,,,,
Scott Kingery,2013,19,-1.4,Arizona,P12,NCAA,,41,143,115,22,30,5,3,0,18,8,4,17,20,0.261,0.374,0.357,0.731,41,,5,4,2,0,,,,,,
Scott Kingery,2014,20,-0.5,Arizona,P12,NCAA,,54,249,195,41,69,11,4,1,26,19,4,33,27,0.354,0.456,0.467,0.923,91,,8,8,5,2,,,,,,
Scott Kingery,2015,21,0.5,Arizona,P12,NCAA,,54,259,237,53,93,15,5,5,36,11,7,9,18,0.392,0.423,0.561,0.984,133,,5,6,2,0,,,,,,
Andrew Stevenson,2013,19,-1.4,Louisiana State,SEC,NCAA,,54,143,119,22,23,0,0,1,14,5,2,11,25,0.193,0.289,0.218,0.507,26,,5,8,0,0,,,,,,
Andrew Stevenson,2014,20,-0.5,Louisiana State,SEC,NCAA,,61,238,203,41,68,7,5,0,32,9,5,14,29,0.335,0.393,0.419,0.812,85,,8,9,4,1,,,,,,
Andrew Stevenson,2015,21,0.5,Louisiana State,SEC,NCAA,,62,274,247,53,86,13,5,1,24,26,7,16,29,0.348,0.396,0.453,0.85,112,,5,4,2,0,,,,,,
Kevin Kramer,2012,18,-2.5,UCLA,P12,NCAA,,44,140,121,18,34,5,0,0,13,1,1,7,19,0.281,0.351,0.322,0.673,39,,6,6,0,0,,,,,,
Kevin Kramer,2013,19,-1.4,UCLA,P12,NCAA,,66,305,245,41,68,11,2,3,42,9,9,30,47,0.278,0.382,0.376,0.758,92,,14,12,4,2,,,,,,
Kevin Kramer,2015,21,0.5,UCLA,P12,NCAA,,61,306,254,55,82,14,2,7,34,7,8,36,38,0.323,0.423,0.476,0.899,121,,11,1,4,3,,,,,,
Mikey White,2013,19,-1.4,Alabama,SEC,NCAA,,63,266,230,34,66,11,1,2,30,3,5,19,45,0.287,0.365,0.37,0.735,85,,10,6,1,1,,,,,,
Mikey White,2014,20,-0.5,Alabama,SEC,NCAA,,61,286,237,50,71,9,2,7,33,3,2,27,44,0.3,0.399,0.443,0.842,105,,14,5,3,0,,,,,,
Mikey White,2015,21,0.5,Alabama,SEC,NCAA,,60,268,218,48,74,19,6,4,35,8,1,31,47,0.339,0.444,0.537,0.98,117,,13,2,4,4,,,,,,
Austin Rei,2013,19,-1.4,Washington,P12,NCAA,,22,62,49,4,11,1,0,0,6,0,0,5,11,0.224,0.345,0.245,0.59,12,,4,4,0,0,,,,,,
Austin Rei,2014,20,-0.5,Washington,P12,NCAA,,52,186,153,24,48,11,2,2,28,1,0,21,36,0.314,0.408,0.451,0.859,69,,4,7,1,0,,,,,,
Austin Rei,2015,21,0.5,Washington,P12,NCAA,,25,110,91,14,30,9,1,7,20,0,0,12,28,0.33,0.445,0.681,1.127,62,,7,0,0,0,,,,,,
Blake Trahan,2013,19,-1.9,Louisiana-Lafayette,SBC,NCAA,,62,258,213,46,68,10,0,4,38,13,0,30,27,0.319,0.41,0.423,0.832,90,,4,9,2,0,,,,,,
Blake Trahan,2014,20,-0.9,Louisiana-Lafayette,SBC,NCAA,,68,324,256,58,91,12,2,4,49,15,12,44,37,0.355,0.455,0.465,0.919,119,,10,5,9,1,,,,,,
Blake Trahan,2015,21,0.2,Louisiana-Lafayette,SBC,NCAA,,65,320,254,51,80,15,1,2,29,17,8,38,32,0.315,0.424,0.406,0.83,103,,14,9,5,10,,,,,,
Brandon Lowe,2014,19,-1.5,Maryland,ACC,NCAA,,54,238,181,35,63,12,3,1,42,8,4,34,20,0.348,0.464,0.464,0.928,84,,11,5,7,4,,,,,,
Brandon Lowe,2015,20,-0.9,Maryland,BTen,NCAA,,66,310,251,58,83,18,4,9,53,11,2,38,33,0.331,0.436,0.542,0.978,136,,13,3,5,2,,,,,,
Braden Bishop,2013,19,-1.4,Washington,P12,NCAA,,42,134,115,18,31,4,0,0,13,6,1,3,25,0.27,0.351,0.304,0.655,35,,12,3,1,0,,,,,,
Braden Bishop,2014,20,-0.5,Washington,P12,NCAA,,58,267,216,43,65,8,2,0,27,21,3,12,31,0.301,0.391,0.356,0.748,77,,22,14,3,0,,,,,,
Braden Bishop,2015,21,0.5,Washington,P12,NCAA,,49,228,193,38,57,14,1,4,25,15,5,23,36,0.295,0.394,0.44,0.834,85,,9,2,1,1,,,,,,
Casey Hughston,2014,20,-0.5,Alabama,SEC,NCAA,,52,184,174,17,47,7,2,4,25,0,2,5,51,0.27,0.302,0.402,0.704,70,,3,2,0,0,,,,,,
Casey Hughston,2015,21,0.5,Alabama,SEC,NCAA,,60,263,235,39,78,14,4,6,44,12,2,22,55,0.332,0.389,0.502,0.891,118,,2,1,3,1,,,,,,
Anderson Miller,2013,19,-1.9,Western Kentucky,SBC,NCAA,,21,77,68,9,15,3,1,0,10,2,1,6,15,0.221,0.289,0.294,0.584,20,,1,1,1,0,,,,,,
Anderson Miller,2014,20,-0.9,Western Kentucky,SBC,NCAA,,57,225,200,40,67,11,4,3,33,3,2,23,33,0.335,0.404,0.475,0.879,95,,1,0,1,1,,,,,,
Anderson Miller,2015,21,0.1,Western Kentucky,CUSA,NCAA,,49,232,189,47,57,9,3,12,34,5,4,41,43,0.302,0.427,0.571,0.998,108,,1,0,1,5,,,,,,
Harrison Bader,2013,19,-1.4,Florida,SEC,NCAA,,59,247,221,37,69,7,2,1,22,15,6,18,23,0.312,0.371,0.376,0.747,83,,4,2,2,0,,,,,,
Harrison Bader,2014,20,-0.5,Florida,SEC,NCAA,,44,202,169,27,57,6,2,2,24,13,6,15,29,0.337,0.421,0.432,0.853,73,,11,5,2,0,,,,,,
Harrison Bader,2015,21,0.5,Florida,SEC,NCAA,,67,305,256,53,76,16,1,17,66,8,5,33,54,0.297,0.393,0.566,0.959,145,,10,2,4,3,,,,,,
Rhett Wiseman,2013,19,-1.4,Vanderbilt,SEC,NCAA,,54,139,121,21,35,7,1,3,17,6,0,13,25,0.289,0.36,0.438,0.798,53,,1,3,1,0,,,,,,
Rhett Wiseman,2014,20,-0.5,Vanderbilt,SEC,NCAA,,68,274,238,37,66,18,4,0,30,12,6,22,43,0.277,0.343,0.387,0.73,92,,4,6,4,1,,,,,,
Rhett Wiseman,2015,21,0.5,Vanderbilt,SEC,NCAA,,71,344,290,70,92,19,4,15,49,12,2,40,73,0.317,0.415,0.566,0.98,164,,9,4,1,2,,,,,,
Anthony Hermelyn,2013,19,-1.8,Oklahoma,B12,NCAA,,59,214,178,18,49,6,0,0,26,2,0,23,29,0.275,0.356,0.309,0.665,55,,2,6,5,0,,,,,,
Anthony Hermelyn,2014,20,-0.8,Oklahoma,B12,NCAA,,54,237,211,24,61,7,1,2,28,1,1,15,29,0.289,0.339,0.36,0.699,76,,3,4,4,0,,,,,,
Anthony Hermelyn,2015,21,0.1,Oklahoma,B12,NCAA,,61,266,243,27,78,12,1,6,49,3,2,15,21,0.321,0.36,0.453,0.813,110,,2,2,4,0,,,,,,
Tate Matheny,2013,19,-1.7,Missouri State,MVC,NCAA,,54,257,229,40,77,14,1,4,26,4,2,22,47,0.336,0.396,0.459,0.855,105,,2,2,2,2,,,,,,
