Name,Season,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,
JaCoby Jones,2017,25,DET,AL,-0.3,56,154,141,14,24,3,1,3,13,6,2,9,65,0.17,0.24,0.27,0.51,36,0.238,31,38,5,4,0,0,0,8H/D9,,
JaCoby Jones,2018,26,DET,AL,1.7,129,467,429,54,89,22,6,11,34,13,5,24,142,0.207,0.266,0.364,0.63,69,0.282,66,156,9,11,1,2,0,*87H/D,,
Daniel Palka,2018,26,CHW,AL,0.6,124,449,417,56,100,15,3,27,67,2,1,30,153,0.24,0.294,0.484,0.778,110,0.338,112,202,7,2,0,0,3,D97H,ROY-5,
Daniel Palka,2019,27,CHW,AL,-1.6,30,93,84,4,9,0,0,2,4,0,1,8,35,0.107,0.194,0.179,0.372,1,0.169,-7,15,3,1,0,0,0,9/HD3,,
Jacob May,2017,25,CHW,AL,-0.6,15,42,36,2,2,0,0,0,3,0,0,3,17,0.056,0.15,0.056,0.206,-40,0.137,-42,2,1,1,2,0,0,8/79H,,
Brandon Dixon,2018,26,CIN,NL,-0.7,74,124,118,14,21,6,0,5,10,0,0,6,43,0.178,0.218,0.356,0.574,51,0.255,43,42,2,0,0,0,0,3H9/4751,,
Brandon Dixon,2019,27,DET,AL,-0.3,117,420,391,41,97,20,4,15,52,5,1,21,136,0.248,0.29,0.435,0.725,88,0.313,87,170,5,4,0,4,0,37DH/95418,,
Brandon Dixon,2020,28,DET,AL,-0.1,5,14,13,0,1,1,0,0,2,0,0,1,4,0.077,0.143,0.154,0.297,-18,0.138,-30,2,1,0,0,0,0,/37H4,,
Ryon Healy,2016,24,OAK,AL,2.4,72,283,269,36,82,20,0,13,37,0,0,12,60,0.305,0.337,0.524,0.861,132,0.373,138,141,7,1,1,0,1,5,,
Ryon Healy,2017,25,OAK,AL,0.9,149,605,576,66,156,29,0,25,78,0,1,23,142,0.271,0.302,0.451,0.754,103,0.331,106,260,16,4,0,2,0,D35/H,,
Ryon Healy,2018,26,SEA,AL,-0.5,133,524,493,51,116,15,0,24,73,0,0,27,113,0.235,0.277,0.412,0.688,91,0.302,90,203,21,2,0,2,0,*3/H5,,
Jordan Patterson,2016,24,COL,NL,0.1,10,19,18,1,8,1,0,0,2,0,1,1,1,0.444,0.474,0.5,0.974,145,0.408,159,9,0,0,0,0,0,/9H37,,
Tony Kemp,2016,24,HOU,AL,-0.4,59,136,120,15,26,4,3,1,7,2,1,14,27,0.217,0.296,0.325,0.621,73,0.28,72,39,5,0,1,1,0,7H/D489,,
Tony Kemp,2017,25,HOU,AL,0,17,39,37,6,8,1,0,0,4,1,0,1,5,0.216,0.256,0.243,0.5,39,0.234,33,9,0,1,0,0,0,7/H8D,,
Tony Kemp,2018,26,HOU,AL,0.6,97,295,255,37,67,15,0,6,30,9,3,32,44,0.263,0.351,0.392,0.743,105,0.331,104,100,7,3,3,1,1,78H/49D,,
Chad Wallach,2017,25,CIN,NL,-0.1,6,11,11,0,1,0,0,0,0,0,0,0,5,0.091,0.091,0.091,0.182,-52,0.081,-84,1,0,0,0,0,0,/2H3,,
Chad Wallach,2018,26,MIA,NL,0,15,52,45,4,8,1,0,1,5,0,0,4,23,0.178,0.275,0.267,0.541,52,0.253,49,12,0,2,1,0,0,2/H,,
Chad Wallach,2019,27,MIA,NL,0.1,19,54,48,4,12,3,0,1,3,0,0,6,12,0.25,0.333,0.375,0.708,88,0.312,88,18,0,0,0,0,0,2/H,,
Jack Reinheimer,2017,24,ARI,NL,-0.1,2,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,-149,0,0,0,0,0,0,/6H,,
Jack Reinheimer,2018,25,NYM,NL,-0.3,21,35,30,4,5,0,0,0,0,1,1,5,9,0.167,0.286,0.167,0.452,32,0.218,32,5,1,0,0,0,0,H/7564,,
Johnny Field,2018,26,2TM,AL,0.5,83,233,221,28,49,13,0,9,21,4,0,7,72,0.222,0.254,0.403,0.657,78,0.302,83,89,3,3,1,1,0,798H/D1,,
Adam Frazier,2016,24,PIT,NL,0.4,66,160,146,21,44,8,1,2,11,4,1,12,26,0.301,0.356,0.411,0.767,105,0.345,107,60,0,1,0,1,0,H749/58,,
Adam Frazier,2017,25,PIT,NL,1.1,121,454,406,55,112,20,6,6,53,9,5,36,57,0.276,0.344,0.399,0.743,97,0.333,102,162,9,8,1,3,2,74H9/856D,,
Adam Frazier,2018,26,PIT,NL,2.6,113,352,318,52,88,23,2,10,35,1,3,29,53,0.277,0.342,0.456,0.798,118,0.351,122,145,3,3,1,1,2,4H79/8D,,
Garrett Cooper,2017,26,NYY,AL,0.2,13,45,43,3,14,5,1,0,6,0,0,1,12,0.326,0.333,0.488,0.822,113,0.34,104,21,0,0,0,1,0,3,,
Garrett Cooper,2018,27,MIA,NL,0.2,14,38,33,2,7,1,0,0,2,0,0,4,12,0.212,0.316,0.242,0.558,59,0.291,78,8,1,1,0,0,0,/73H9,,
Garrett Cooper,2019,28,MIA,NL,1.7,107,421,381,52,107,16,1,15,50,0,0,33,110,0.281,0.344,0.446,0.791,108,0.347,113,170,10,5,0,2,0,39/HD,,
Tyler Smith,2017,25,SEA,AL,0.2,10,19,16,2,3,1,0,0,1,0,0,1,8,0.188,0.263,0.25,0.513,42,0.233,36,4,0,1,0,1,0,/64HD,,
Kyle Farmer,2017,26,LAD,NL,-0.1,20,20,20,1,6,1,0,0,2,0,0,0,3,0.3,0.3,0.35,0.65,73,0.281,64,7,2,0,0,0,0,H/523,,
Kyle Farmer,2018,27,LAD,NL,0.3,39,77,68,1,16,4,1,0,9,0,0,5,15,0.235,0.312,0.324,0.635,74,0.293,74,22,1,3,0,1,1,5H/23,,
Kyle Farmer,2019,28,CIN,NL,0.1,97,197,183,22,42,6,0,9,27,4,1,10,59,0.23,0.279,0.41,0.689,72,0.301,68,75,1,3,0,1,1,4H325/16D,,
Trey Mancini,2016,24,BAL,AL,0.3,5,15,14,3,5,1,0,3,5,0,0,0,4,0.357,0.4,1.071,1.471,274,0.582,284,15,0,1,0,0,0,/DH,,
Trey Mancini,2017,25,BAL,AL,2.6,147,586,543,65,159,26,4,24,78,1,0,33,139,0.293,0.338,0.488,0.826,120,0.354,120,265,12,6,0,4,1,73D/H9,ROY-3,
Trey Mancini,2018,26,BAL,AL,0.7,156,636,582,69,141,23,3,24,58,0,1,44,153,0.242,0.299,0.416,0.715,95,0.313,94,242,17,5,0,5,1,73D/H,,
Pat Valakia,2016,23,COL,NL,0,13,19,19,3,5,1,0,1,2,0,0,0,8,0.263,0.263,0.474,0.737,79,0.309,68,9,0,0,0,0,0,/54H6,,
Pat Valakia,2017,24,COL,NL,0.6,110,195,182,28,47,11,0,13,40,0,0,7,53,0.258,0.284,0.533,0.817,94,0.344,91,97,1,0,5,1,0,H65/437D,,
Pat Valakia,2018,25,COL,NL,-1.7,68,133,122,8,19,5,0,2,5,0,0,9,30,0.156,0.214,0.246,0.46,16,0.223,6,30,4,0,2,0,0,H43/56,,
Mitch Garver,2017,26,MIN,AL,0,23,52,46,5,9,1,3,0,3,0,0,6,15,0.196,0.288,0.348,0.636,70,0.294,74,16,1,0,0,0,0,2/DH37,,
Mitch Garver,2018,27,MIN,AL,1.1,102,335,302,38,81,19,2,7,45,0,0,29,72,0.268,0.335,0.414,0.749,104,0.337,108,125,8,2,1,1,2,2H/D31,,
Mitch Garver,2019,28,MIN,AL,4.1,93,359,311,70,85,16,1,31,67,0,0,41,87,0.273,0.365,0.63,0.995,157,0.41,158,196,5,5,0,2,0,2H/D3,SS,
Mike Tauchman,2017,26,COL,NL,-0.3,31,32,27,2,6,0,1,0,2,1,2,5,10,0.222,0.344,0.296,0.64,60,0.268,53,8,1,0,0,0,0,H/789,,
Mike Tauchman,2018,27,COL,NL,-0.5,21,37,32,5,3,1,0,0,0,1,0,4,15,0.094,0.194,0.125,0.319,-16,0.166,-44,4,0,0,1,0,0,H/879,,
Mike Tauchman,2019,28,NYY,AL,3.9,87,296,260,46,72,18,1,13,47,6,0,34,71,0.277,0.361,0.504,0.865,128,0.374,130,131,9,1,0,1,0,798/H,,
Austin Wynns,2018,27,BAL,AL,0.4,42,118,110,16,28,2,0,4,11,0,0,5,25,0.255,0.287,0.382,0.669,83,0.308,90,42,7,0,3,0,0,2/HD,,
Austin Wynns,2019,28,BAL,AL,0.2,28,74,70,8,15,1,0,1,5,0,0,3,14,0.214,0.247,0.271,0.518,38,0.265,54,19,2,0,1,0,0,2/HD,,
Austin Wynns,2021,30,BAL,AL,-0.6,45,139,130,14,24,4,0,4,14,1,0,8,31,0.185,0.232,0.308,0.54,47,0.243,43,40,6,0,1,0,0,2/13DH,,
Michael Conforto,2015,22,NYM,NL,2.2,56,194,174,30,47,14,0,9,26,0,1,17,39,0.27,0.335,0.506,0.841,130,0.364,132,88,4,1,0,2,0,7/H,,
Michael Conforto,2016,23,NYM,NL,0.7,109,348,304,38,67,21,1,12,42,2,1,36,89,0.22,0.31,0.414,0.725,95,0.319,93,126,6,5,0,3,2,7H/98D,,
Michael Conforto,2017,24,NYM,NL,3.7,109,440,373,72,104,20,1,27,68,2,0,57,113,0.279,0.384,0.555,0.939,148,0.401,152,207,3,8,0,2,5,78H9/D,AS,
Trea Turner,2015,22,WSN,NL,0.3,27,44,40,5,9,1,0,1,1,2,2,4,12,0.225,0.295,0.325,0.62,69,0.29,78,13,0,0,0,0,0,H4/6,,
Trea Turner,2016,23,WSN,NL,3.3,73,324,307,53,105,14,8,13,40,33,6,14,59,0.342,0.37,0.567,0.937,142,0.422,150,174,1,1,0,2,0,84/6H,ROY-2,
Trea Turner,2017,24,WSN,NL,2.9,98,447,412,75,117,24,6,11,45,46,8,30,80,0.284,0.338,0.451,0.789,101,0.372,111,186,4,4,0,1,0,6/H,,
Bradley Zimmer,2017,24,CLE,AL,1.6,101,332,299,41,72,15,2,8,39,18,1,26,99,0.241,0.307,0.385,0.692,80,0.319,78,115,5,4,0,3,1,8H,,
Bradley Zimmer,2018,25,CLE,AL,0.1,34,114,106,14,24,5,0,2,9,4,1,7,44,0.226,0.281,0.33,0.611,65,0.273,58,35,1,1,0,0,0,8/H,,
Bradley Zimmer,2019,26,CLE,AL,-0.2,9,14,13,1,0,0,0,0,0,0,0,1,7,0,0.071,0,0.071,-78,0.113,-56,0,0,0,0,0,0,/H98,,
Matt Chapman,2017,24,OAK,AL,3.3,84,326,290,39,68,23,2,14,40,0,3,32,92,0.234,0.313,0.472,0.785,111,0.335,112,137,2,2,0,2,0,5,,
Matt Chapman,2018,25,OAK,AL,7.4,145,616,547,100,152,42,6,24,68,1,2,58,146,0.278,0.356,0.508,0.864,137,0.37,137,278,18,9,0,2,0,*5,"MVP-7,GG",
Matt Chapman,2019,26,OAK,AL,7.3,156,670,583,102,145,36,3,36,91,1,1,73,147,0.249,0.342,0.506,0.848,127,0.361,129,295,12,11,0,3,0,*5,"AS,MVP-6,GG",
AJ Reed,2016,23,HOU,AL,-0.7,45,141,122,11,20,3,0,3,8,0,0,18,48,0.164,0.27,0.262,0.532,49,0.251,50,32,1,0,0,1,0,3/DH,,
AJ Reed,2017,24,HOU,AL,-0.2,2,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-131,0,0,0,0,0,0,/3D,,
AJ Reed,2018,25,HOU,AL,-0.1,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-131,0,0,0,0,0,0,/3,,
Aramis Garcia,2018,25,SFG,NL,0.2,19,65,63,8,18,1,0,4,9,0,0,2,31,0.286,0.308,0.492,0.8,119,0.345,118,31,1,0,0,0,0,3/2H,,
Aramis Garcia,2019,26,SFG,NL,-0.3,18,46,42,5,6,1,0,2,5,0,0,4,21,0.143,0.217,0.31,0.527,38,0.219,20,13,1,0,0,0,1,2/3H,,
Aramis Garcia,2021,28,OAK,AL,-0.4,32,94,88,8,18,1,0,3,7,0,0,1,28,0.205,0.239,0.318,0.557,55,0.25,55,28,4,3,2,0,0,2/DH,,
J.D. Davis,2017,24,HOU,AL,0.3,24,68,62,8,14,4,0,4,7,1,1,4,20,0.226,0.279,0.484,0.763,104,0.322,103,30,3,1,0,1,0,5/H13,,
J.D. Davis,2018,25,HOU,AL,-0.8,42,113,103,9,18,2,0,1,5,0,0,10,29,0.175,0.248,0.223,0.471,32,0.225,30,23,3,0,0,0,0,53/H71,,
J.D. Davis,2019,26,NYM,NL,1.1,140,453,410,65,126,22,1,22,57,3,0,38,97,0.307,0.369,0.527,0.895,137,0.384,142,216,14,3,0,2,2,7H5/D,,
Brian Anderson,2017,24,MIA,NL,-0.3,25,95,84,11,22,7,1,0,8,0,0,10,28,0.262,0.337,0.369,0.706,94,0.321,100,31,1,0,0,1,0,5/H,,
Brian Anderson,2018,25,MIA,NL,3.1,156,670,590,87,161,34,4,11,65,2,4,62,129,0.273,0.357,0.4,0.757,110,0.346,120,236,18,16,0,2,2,95/H,ROY-4,
Brian Anderson,2019,26,MIA,NL,3.2,126,520,459,57,120,33,1,20,66,5,1,44,114,0.261,0.342,0.468,0.811,112,0.353,116,215,15,14,0,3,1,59/HD,,
Mark Zagunis,2017,24,CHC,NL,0,7,18,14,0,0,0,0,0,1,2,0,4,6,0,0.222,0,0.222,-34,0.231,3,0,0,0,0,0,0,/9H,,
Mark Zagunis,2018,25,CHC,NL,0.1,5,6,5,0,2,1,0,0,1,0,0,1,1,0.4,0.5,0.6,1.1,192,0.474,201,3,0,0,0,0,0,/H9,,
Mark Zagunis,2019,26,CHC,NL,-0.1,30,40,36,2,9,3,0,0,5,0,0,4,16,0.25,0.325,0.333,0.658,73,0.309,81,12,1,0,0,0,0,H/97,,
Jordan Luplow,2017,23,PIT,NL,-0.4,27,87,78,6,16,3,1,3,11,0,1,6,22,0.205,0.276,0.385,0.66,73,0.279,66,30,4,2,0,1,0,97/H,,
Jordan Luplow,2018,24,PIT,NL,0.1,37,103,92,16,17,1,3,3,7,2,2,10,18,0.185,0.272,0.359,0.631,72,0.284,74,33,7,1,0,0,0,79H/8,,
Jordan Luplow,2019,25,CLE,AL,2,85,261,225,42,62,15,1,15,38,3,2,33,61,0.276,0.372,0.551,0.923,136,0.384,136,124,7,2,0,1,0,97H/8D,,
Taylor Gushue,2021,27,CHC,NL,-0.1,2,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,-132,0,0,0,0,0,0,/23H,,
Jose Trevino,2018,25,TEX,AL,-0.1,3,8,8,0,2,0,0,0,3,0,0,0,1,0.25,0.25,0.25,0.5,33,0.212,11,2,1,0,0,0,0,/2H,,
Jose Trevino,2019,26,TEX,AL,0,40,126,120,18,31,9,0,2,13,0,0,3,27,0.258,0.272,0.383,0.655,64,0.302,71,46,6,0,1,2,0,2/H,,
Jose Trevino,2020,27,TEX,AL,0.4,24,83,76,10,19,8,0,2,9,0,0,3,15,0.25,0.28,0.434,0.715,94,0.311,92,33,1,1,1,2,0,2/D3H,,
Greg Allen,2017,24,CLE,AL,-0.2,25,39,35,7,8,1,0,1,6,1,0,2,8,0.229,0.282,0.343,0.625,63,0.272,48,12,0,1,0,1,0,8/H7,,
Greg Allen,2018,25,CLE,AL,0.3,91,291,265,36,68,11,3,2,20,21,4,14,58,0.257,0.31,0.343,0.654,77,0.307,77,91,5,7,4,1,1,89H/7D,,
Greg Allen,2019,26,CLE,AL,0.4,89,256,231,30,53,9,3,4,27,8,2,11,53,0.229,0.29,0.346,0.636,66,0.294,69,80,3,9,4,1,1,7H89,,
Mark Payton,2020,28,CIN,NL,-0.2,8,20,18,0,3,1,0,0,0,1,0,2,5,0.167,0.25,0.222,0.472,25,0.234,17,4,1,0,0,0,0,/7HD,,
Mark Payton,2021,29,CIN,NL,-0.3,24,24,22,2,4,0,0,0,0,0,0,2,7,0.182,0.25,0.182,0.432,15,0.208,5,4,0,0,0,0,0,H/97,,
Mark Payton,2022,30,CHW,AL,0,8,25,21,3,3,0,0,0,1,0,0,4,4,0.143,0.28,0.143,0.423,26,0.29,81,3,0,0,0,0,0,/798H,,
Austin Slater,2017,24,SFG,NL,0.2,34,127,117,15,33,3,1,3,16,0,0,8,29,0.282,0.339,0.402,0.74,95,0.329,97,47,3,2,0,0,0,7/9H58,,
Austin Slater,2018,25,SFG,NL,-0.2,74,225,199,21,50,6,1,1,23,7,0,20,69,0.251,0.333,0.307,0.64,81,0.305,83,61,5,5,0,1,2,73H9,,
Austin Slater,2019,26,SFG,NL,0.7,68,192,168,20,40,9,3,5,21,1,0,22,59,0.238,0.333,0.417,0.75,99,0.334,104,70,1,2,0,0,1,9H/374,,
Ryan O'Hearn,2018,24,KCR,AL,0.8,44,170,149,23,39,10,2,12,30,0,0,20,45,0.262,0.353,0.597,0.95,154,0.395,151,89,0,1,0,0,0,3D/H7,,
Ryan O'Hearn,2019,25,KCR,AL,-1.4,105,370,328,32,64,13,1,14,38,0,1,39,99,0.195,0.281,0.369,0.65,69,0.276,62,121,7,1,0,2,1,3H/7D,,
Ryan O'Hearn,2020,26,KCR,AL,-0.6,42,132,113,7,22,6,0,2,18,0,0,18,37,0.195,0.303,0.301,0.604,65,0.27,58,34,5,0,0,1,2,3H/D,,
Brian O'Grady,2019,27,CIN,NL,0.1,28,48,42,4,8,2,1,2,3,0,0,4,17,0.19,0.292,0.429,0.72,80,0.326,88,18,0,2,0,0,0,H8/73D,,
Brian O'Grady,2020,28,TBR,AL,0.1,2,5,5,2,2,1,0,0,0,1,0,0,1,0.4,0.4,0.6,1,178,0.474,179,3,0,0,0,0,0,/378,,
Brian O'Grady,2021,29,SDP,NL,0.1,32,61,51,8,8,3,0,2,9,0,0,8,17,0.157,0.267,0.333,0.6,67,0.267,64,17,1,0,1,1,0,H9/783,,
Dansby Swanson,2016,22,ATL,NL,1.2,38,145,129,20,39,7,1,3,17,3,0,13,34,0.302,0.361,0.442,0.803,115,0.353,113,57,2,0,1,2,5,6/H,,
Dansby Swanson,2017,23,ATL,NL,-0.2,144,551,488,59,113,23,2,6,51,3,3,59,120,0.232,0.312,0.324,0.636,68,0.285,63,158,7,0,0,4,10,*6/H,,
Dansby Swanson,2018,24,ATL,NL,2.2,136,533,478,51,114,25,4,14,59,10,4,44,122,0.238,0.304,0.395,0.699,87,0.307,80,189,5,2,6,3,15,*6/H,,
Alex Bregman,2016,22,HOU,AL,2.1,49,217,201,31,53,13,3,8,34,2,0,15,52,0.264,0.313,0.478,0.791,116,0.345,118,96,1,0,0,1,0,5/64D7H,,
Alex Bregman,2017,23,HOU,AL,4.3,155,626,556,88,158,39,5,19,71,17,5,55,97,0.284,0.352,0.475,0.827,125,0.359,126,264,15,7,1,7,2,*56/4HD,,
Alex Bregman,2018,24,HOU,AL,7.6,157,705,594,105,170,51,1,31,103,10,4,96,85,0.286,0.394,0.532,0.926,152,0.397,153,316,15,12,0,3,2,*56/47,"AS,MVP-5",
Andrew Benintendi,2016,21,BOS,AL,0.8,34,118,105,16,31,11,1,2,14,1,0,10,25,0.295,0.359,0.476,0.835,118,0.358,115,50,0,1,1,1,0,7/8H,,
Andrew Benintendi,2017,22,BOS,AL,3,151,658,573,84,155,26,1,20,90,20,5,70,112,0.271,0.352,0.424,0.776,103,0.338,98,243,16,6,1,8,7,*78/H,ROY-2,
Andrew Benintendi,2018,23,BOS,AL,4.8,148,661,579,103,168,41,6,16,87,21,3,71,106,0.29,0.366,0.465,0.83,123,0.368,124,269,9,2,2,7,1,*78/H,,
Ian Happ,2017,22,CHC,NL,1.6,115,413,364,62,92,17,3,24,68,8,4,39,129,0.253,0.328,0.514,0.842,113,0.359,114,187,12,4,2,4,5,847H9/5,ROY-8,
Ian Happ,2018,23,CHC,NL,0.8,142,462,387,56,90,19,2,15,44,8,4,70,167,0.233,0.353,0.408,0.761,102,0.342,105,158,6,3,0,2,9,*87H95/341,,
Ian Happ,2019,24,CHC,NL,1.4,58,156,140,25,37,7,1,11,30,2,0,15,39,0.264,0.333,0.564,0.898,128,0.377,128,79,1,0,0,1,0,H748/593,,
Kevin Newman,2018,24,PIT,NL,-1,31,97,91,7,19,2,0,0,6,0,1,4,23,0.209,0.247,0.231,0.478,33,0.215,23,21,2,1,0,1,1,6/4H,,
Kevin Newman,2019,25,PIT,NL,3,130,531,493,61,152,20,6,12,64,16,8,28,62,0.308,0.353,0.446,0.8,110,0.357,119,220,5,7,2,1,2,64H/57,,
Kevin Newman,2020,26,PIT,NL,-0.4,44,172,156,12,35,5,0,1,10,0,1,12,21,0.224,0.281,0.276,0.556,53,0.268,61,43,1,1,1,2,0,64/H,,
Richie Martin,2019,24,BAL,AL,-1,120,309,283,29,59,8,3,6,23,10,1,14,83,0.208,0.26,0.322,0.581,53,0.266,51,91,6,6,5,1,0,*6/HD,,
Richie Martin,2021,26,BAL,AL,-0.9,37,105,98,9,23,2,0,1,8,0,2,4,28,0.235,0.269,0.286,0.555,53,0.234,44,28,1,1,1,1,0,6/H,,
Richie Martin,2022,27,BAL,AL,0,13,33,30,4,5,0,2,0,3,3,1,3,10,0.167,0.242,0.3,0.542,56,0.249,50,9,0,0,0,0,0,4/6HD,,
DJ Stewart,2018,24,BAL,AL,0.6,17,47,40,8,10,3,0,3,10,2,1,4,12,0.25,0.34,0.55,0.89,141,0.37,135,22,0,2,0,1,0,/79HD,,
DJ Stewart,2019,25,BAL,AL,-0.4,44,142,126,15,30,6,0,4,15,1,2,14,26,0.238,0.317,0.381,0.698,85,0.299,83,48,3,1,0,1,1,97/HD,,
DJ Stewart,2020,26,BAL,AL,0.5,31,112,88,13,17,2,0,7,15,0,0,20,38,0.193,0.355,0.455,0.809,118,0.36,123,40,0,2,2,0,0,97/H,,
Taylor Ward,2018,24,LAA,AL,-0.2,40,147,135,14,24,3,0,6,15,2,0,9,45,0.178,0.245,0.333,0.578,58,0.263,55,45,0,3,0,0,0,5,,
Taylor Ward,2019,25,LAA,AL,-0.9,20,48,42,4,8,3,0,1,2,0,0,6,23,0.19,0.292,0.333,0.625,66,0.276,63,14,1,0,0,0,0,/7H5D,,
Taylor Ward,2020,26,LAA,AL,0.1,34,102,94,16,26,6,2,0,5,2,0,8,28,0.277,0.333,0.383,0.716,96,0.337,105,36,1,0,0,0,0,97/H3D,,
Chris Shaw,2018,24,SFG,NL,-0.4,22,62,54,2,10,2,0,1,7,1,0,7,23,0.185,0.274,0.278,0.552,55,0.256,50,15,0,0,0,1,0,7/H,,
Chris Shaw,2019,25,SFG,NL,-0.5,16,20,18,0,1,0,0,0,0,0,0,2,8,0.056,0.15,0.056,0.206,-41,0.114,-54,1,0,0,0,0,0,H/3D,,
Christin Stewart,2018,24,DET,AL,-0.2,17,72,60,7,16,1,1,2,10,0,0,10,13,0.267,0.375,0.417,0.792,115,0.347,113,25,1,1,0,1,0,7/DH,,
Christin Stewart,2019,25,DET,AL,-0.3,104,416,369,32,86,25,1,10,40,0,1,34,103,0.233,0.305,0.388,0.693,82,0.299,79,143,4,7,0,6,3,7D/H,,
Christin Stewart,2020,26,DET,AL,-0.6,36,99,90,6,15,3,0,3,9,0,0,5,30,0.167,0.224,0.3,0.524,43,0.23,34,27,2,2,0,1,0,7/HD,,
Scott Kingery,2018,24,PHI,NL,-0.8,147,484,452,55,102,23,2,8,35,10,3,24,126,0.226,0.267,0.338,0.605,61,0.269,52,153,2,3,0,5,1,*6H5/47918,,
Scott Kingery,2019,25,PHI,NL,2.7,126,500,458,64,118,34,4,19,55,15,4,34,147,0.258,0.315,0.474,0.788,101,0.338,99,217,3,5,1,2,1,85647/H9,,
Scott Kingery,2020,26,PHI,NL,-0.9,36,124,113,12,18,5,0,3,6,0,0,9,35,0.159,0.228,0.283,0.511,37,0.249,44,32,1,1,1,0,0,4/8H6,,
Andrew Stevenson,2017,23,WSN,NL,-0.4,37,66,57,5,9,2,0,0,1,1,0,7,20,0.158,0.25,0.193,0.443,17,0.215,3,11,0,0,2,0,0,H9/78,,
Andrew Stevenson,2018,24,WSN,NL,-0.2,57,86,75,9,19,2,0,1,13,1,1,6,23,0.253,0.306,0.32,0.626,66,0.284,62,24,0,1,1,3,0,H7/89,,
Andrew Stevenson,2019,25,WSN,NL,0.2,30,37,30,4,11,1,1,0,0,0,1,6,11,0.367,0.486,0.467,0.953,150,0.404,157,14,1,1,0,0,0,H/7,,
Kevin Kramer,2018,24,PIT,NL,-0.6,21,40,37,5,5,0,0,0,4,0,0,2,20,0.135,0.175,0.135,0.31,-13,0.147,-30,5,0,0,0,1,0,H/54,,
Kevin Kramer,2019,25,PIT,NL,-0.4,22,50,42,5,7,1,0,0,5,0,1,6,17,0.167,0.26,0.19,0.45,23,0.22,28,8,0,0,0,2,0,/H794,,
Blake Trahan,2018,24,CIN,NL,0,11,14,14,2,3,0,0,0,0,0,0,0,4,0.214,0.214,0.214,0.429,16,0.257,45,3,0,0,0,0,0,/645H,,
Brandon Lowe,2018,23,TBR,AL,0.8,43,148,129,16,30,6,2,6,25,2,1,16,38,0.233,0.324,0.45,0.774,112,0.337,113,58,3,2,0,1,0,47/9HD,,
Brandon Lowe,2019,24,TBR,AL,2.9,82,327,296,42,80,17,2,17,51,5,0,25,113,0.27,0.336,0.514,0.85,125,0.362,125,152,1,5,0,1,0,4/H39D7,"AS,ROY-3",
Brandon Lowe,2020,25,TBR,AL,2.4,56,224,193,36,52,9,2,14,37,3,0,25,58,0.269,0.362,0.554,0.916,154,0.387,148,107,2,4,0,2,0,*4/9H7D3,MVP-8,
Braden Bishop,2019,25,SEA,AL,-0.3,27,60,56,3,6,0,0,0,4,0,0,3,21,0.107,0.153,0.107,0.26,-27,0.138,-30,6,0,0,1,0,0,8/7H9D,,
Braden Bishop,2020,26,SEA,AL,0.1,12,34,30,2,5,2,0,0,4,1,0,2,10,0.167,0.242,0.233,0.476,35,0.255,51,7,0,1,1,0,0,/987,,
Braden Bishop,2021,27,SEA,AL,0,8,5,4,1,1,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5,42,0.199,0,1,0,0,1,0,0,/7H,,
Harrison Bader,2017,23,STL,NL,0,32,92,85,10,20,3,0,3,10,2,1,5,24,0.235,0.283,0.376,0.659,72,0.274,57,32,1,1,0,1,1,8/H79,,
Harrison Bader,2018,24,STL,NL,3.2,138,427,379,61,100,20,2,12,37,15,3,31,125,0.264,0.334,0.422,0.756,106,0.338,105,160,1,11,2,4,3,*89H/7,ROY-6,
Harrison Bader,2019,25,STL,NL,2.3,128,406,347,54,71,14,3,12,39,11,3,46,117,0.205,0.314,0.366,0.68,80,0.312,86,127,3,10,1,2,4,*8H,,
Kyle Martin,2017,26,BOS,AL,0,0,0,3.86,2,0,0,0,0,0,2.1,2,1,1,1,2,0,1,0,0,0,11,135,10.44,1.714,7.7,3.9,7.7,3.9,0.5
Skye Bolt,2019,25,OAK,AL,-0.1,5,11,10,1,1,1,0,0,0,0,0,1,3,0.1,0.182,0.2,0.382,4,0.173,-4,2,0,0,0,0,0,/8H9,,
Skye Bolt,2021,27,OAK,AL,-0.5,32,59,56,5,5,1,0,1,4,2,0,1,14,0.089,0.105,0.161,0.266,-26,0.124,-44,9,0,0,2,0,0,8H/79D,,
Skye Bolt,2022,28,OAK,AL,-0.2,42,116,106,10,21,2,0,4,13,5,0,7,30,0.198,0.259,0.33,0.589,72,0.271,68,35,1,2,0,1,0,8/H97,,
Paul DeJong,2017,23,STL,NL,2.7,108,443,417,55,119,26,1,25,65,1,0,21,124,0.285,0.325,0.532,0.857,121,0.366,123,222,8,4,0,1,1,64/H,ROY-2,
