Name,Season,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,,
Ronnie Dawson,2021,26,HOU,AL,-0.1,3,6,5,2,1,0,0,0,0,0,0,1,0,0.2,0.333,0.2,0.533,53,0.264,60,1,1,0,0,0,0,/DH,,,
Ronnie Dawson,2022,27,CIN,NL,-0.1,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,-132,0,0,0,0,0,0,/D,,,
Nick Solak,2019,24,TEX,AL,0.7,33,135,116,19,34,6,1,5,17,2,0,15,29,0.293,0.393,0.491,0.884,123,0.397,136,57,2,4,0,0,1,D5/4H,,,
Nick Solak,2020,25,TEX,AL,-1.1,58,233,209,27,56,10,0,2,23,7,1,18,42,0.268,0.326,0.344,0.671,86,0.304,84,72,6,2,0,4,0,748/D3H,,,
Nick Solak,2021,26,TEX,AL,1,127,511,458,57,111,18,2,11,49,7,5,34,107,0.242,0.314,0.362,0.677,87,0.303,89,166,11,15,2,2,0,*4/DH,,,
Pete Alonso,2019,24,NYM,NL,5.4,161,693,597,103,155,30,2,53,120,1,0,72,183,0.26,0.358,0.583,0.941,147,0.399,154,348,13,21,0,3,6,*3/HD,ASMVP-7ROY-1,,
Pete Alonso,2020,25,NYM,NL,0.1,57,239,208,31,48,6,0,16,35,1,0,24,61,0.231,0.326,0.49,0.817,122,0.342,114,102,4,6,0,1,4,3D/H,,,
Pete Alonso,2021,26,NYM,NL,4.1,152,637,561,81,147,27,3,37,94,3,0,60,127,0.262,0.344,0.519,0.863,133,0.377,137,291,20,12,0,4,6,*3/DH,,,
Garrett Hampson,2018,23,COL,NL,0.1,24,48,40,3,11,3,1,0,4,2,0,7,12,0.275,0.396,0.4,0.796,103,0.365,103,16,0,1,0,0,0,H/648,,,
Garrett Hampson,2019,24,COL,NL,0.3,105,327,299,40,74,9,4,8,27,15,3,24,88,0.247,0.302,0.385,0.686,67,0.312,65,115,2,0,2,2,1,48H6/7,,,
Garrett Hampson,2020,25,COL,NL,0,53,184,167,25,39,4,3,5,11,6,1,13,60,0.234,0.287,0.383,0.671,70,0.292,57,64,1,0,3,1,0,48/H76D,,,
Sean Murphy,2019,24,OAK,AL,0.6,20,60,53,14,13,5,0,4,8,0,0,6,16,0.245,0.333,0.566,0.899,138,0.368,133,30,3,1,0,0,0,2/HD,,,
Sean Murphy,2020,25,OAK,AL,1.1,43,140,116,21,27,5,0,7,14,0,0,24,37,0.233,0.364,0.457,0.821,129,0.365,133,53,6,0,0,0,0,*2/H,ROY-4,,
Sean Murphy,2021,26,OAK,AL,2.8,119,448,393,47,85,23,0,17,59,0,0,40,114,0.216,0.306,0.405,0.71,98,0.314,101,159,7,12,0,3,0,*2/HD,GG,,
Alex Call,2022,27,2TM,2LG,0.4,47,131,114,18,27,3,1,5,13,3,3,15,30,0.237,0.336,0.412,0.748,115,0.325,115,47,2,2,0,0,0,7H/98D,,,
Alex Call,2023,28,WSN,NL,1,128,439,375,43,75,14,1,8,38,9,8,53,78,0.2,0.307,0.307,0.614,72,0.282,78,115,1,6,3,2,0,*87/9H,,,
Alex Call,2024,29,WSN,NL,1.5,30,113,99,15,34,9,0,3,14,5,1,12,19,0.343,0.425,0.525,0.95,168,0.429,179,52,2,2,0,0,0,9/87H,,,
Austin Hays,2017,21,BAL,AL,-0.5,20,63,60,4,13,3,0,1,8,0,0,2,16,0.217,0.238,0.317,0.555,49,0.25,46,19,2,0,0,1,0,8-Sep,,,
Austin Hays,2019,23,BAL,AL,0.8,21,75,68,12,21,6,0,4,13,2,0,7,13,0.309,0.373,0.574,0.947,146,0.408,151,39,0,0,0,0,0,8/H,,,
Austin Hays,2020,24,BAL,AL,0.8,33,134,122,20,34,2,0,4,9,2,3,8,25,0.279,0.328,0.393,0.722,96,0.332,108,48,1,2,0,2,0,87/9H,,,
Jake Rogers,2019,24,DET,AL,-0.6,35,128,112,11,14,3,0,4,8,0,0,13,51,0.125,0.222,0.259,0.481,27,0.216,18,29,3,1,2,0,0,2/D,,,
Jake Rogers,2021,26,DET,AL,1.2,38,127,113,17,27,5,3,6,17,1,0,11,46,0.239,0.306,0.496,0.802,119,0.339,115,56,0,0,3,0,0,2/15H,,,
Jake Rogers,2022,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,Did not play - Injury,,
Bobby Dalbec,2020,25,BOS,AL,0.6,23,92,80,13,21,3,0,8,16,0,0,10,39,0.263,0.359,0.6,0.959,149,0.4,146,48,0,2,0,0,0,3/5D,,,
Bobby Dalbec,2021,26,BOS,AL,0.3,133,453,417,50,100,21,5,25,78,2,0,28,156,0.24,0.298,0.494,0.792,107,0.332,101,206,3,7,0,1,1,*35H/6D,,,
Bobby Dalbec,2022,27,BOS,AL,-0.7,117,353,317,40,68,9,2,12,39,3,0,29,118,0.215,0.283,0.369,0.652,80,0.302,83,117,5,3,0,4,0,35H/D46,,,
Zach Remillard,2023,29,CHW,AL,0.1,54,160,147,16,37,7,0,1,18,4,3,8,48,0.252,0.295,0.32,0.615,70,0.275,69,47,3,1,4,0,1,4/H5976D,,,
Zach Remillard,2024,30,CHW,AL,0.2,15,39,33,3,8,1,1,0,1,1,0,5,10,0.242,0.342,0.333,0.675,95,0.331,110,11,1,0,1,0,0,/456H78D,,,
Pavin Smith,2020,24,ARI,NL,0.2,12,44,37,7,10,0,1,1,4,1,0,5,8,0.27,0.341,0.405,0.746,102,0.322,92,15,0,0,0,2,0,/379D,,,
Pavin Smith,2021,25,ARI,NL,-0.1,145,545,498,68,133,27,4,11,49,1,0,42,106,0.267,0.328,0.404,0.732,98,0.323,96,201,11,4,0,1,1,398H7,,,
Pavin Smith,2022,26,ARI,NL,0.4,75,277,245,24,54,9,0,9,33,1,0,28,67,0.22,0.3,0.367,0.667,89,0.298,86,90,2,1,0,3,1,9D3/H,,,
Adam Haseley,2019,23,PHI,NL,1.8,67,242,222,30,59,14,0,5,26,4,0,14,60,0.266,0.324,0.396,0.72,86,0.32,85,88,7,5,1,0,1,879/H,,,
Adam Haseley,2020,24,PHI,NL,0,40,92,79,7,22,5,0,0,13,0,0,7,17,0.278,0.348,0.342,0.69,88,0.326,98,27,3,2,3,1,1,87/9H,,,
